UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.1753
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5495
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0211
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.2557
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.0658
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0026
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3103
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4171
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.4657
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.4388
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.4035
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.937
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9022
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.2758
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6955
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2543
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.4876
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3735
Axis Corporate Bond Fund - Direct Plan Growth	18.5702
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2097
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5286
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2549
Axis Corporate Bond Fund - Regular Plan Growth	17.5101
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7527
BANDHAN Corporate Bond Fund - Direct Growth	20.2618
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6045
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3591
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4423
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6813
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7248
BANDHAN Corporate Bond Fund - Regular Growth	19.6547
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	10.9965
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6125
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2498
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7143
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.7595
